cluster,raised,goal,donors,length,shares
5,5975,10000,31,3,262
10,3195,15000,51,4,125
3,3080,3200,38,4,112
2,2631,35000,65,5,562
11,1765,10000,14,5,103
1,1735,2050,34,4,14
10,1060,510,11,4,43
18,1045,7000,17,13,65
3,980,25000,17,5,44
4,610,5000,7,3,13
9,500,1600,5,5,31
1,480,1815,8,3,115
7,460,500,25,4,182
15,450,80000,4,3,11
13,250,9000,4,1,71
1,250,250,8,2,115
1,245,10000,9,3,63
13,225,1380,9,4,36
5,220,10000,5,3,110
4,215,2500,5,13,13
1,155,3600,6,4,49
1,150,132,1,3,32
13,120,25000,2,4,12
9,90,35000,3,3,6
18,80,10000,5,3,164
10,80,690,2,5,9
1,60,300,2,4,14
1,50,800,2,6,44
1,50,1300,1,1,6
17,25,5000,1,12,16
1,20,500,1,3,13
1,132334,200000,"1,263",5,4.0k
5,124797,300000,"3,286",2,14k
8,97105,120000,125,1,22
15,87609,150000,665,4,419
1,83230,100,"1,960",1,7.1k
13,72245,100000,634,4,3.5k
15,68930,60000,263,4,972
17,64675,250000,351,22,1.0k
9,56020,50000,521,1,1.9k
11,55038,75000,676,5,2.8k
5,54432,50000,"1,307",29,1.3k
18,52675,50000,524,4,1.5k
13,51579,60000,275,1,619
10,35019,75000,201,6,392
2,34813,50000,317,4,683
12,34417,200000,398,4,660
8,38123,54000,139,4,314
1,32850,35000,242,4,1.5k
11,32834,55000,106,5,292
15,46500,60000,136,5,2.2k
17,31901,150000,220,3,1.3k
2,31486,75000,216,5,479
18,31245,30000,365,5,1.1k
8,31150,30000,309,3,1.5k
12,39200,45000,340,1,679
15,38652,50000,228,1,595
8,37783,30000,457,2,431
11,36030,35000,564,5,2.0k
6,35177,34000,187,2,531
10,35019,75000,201,6,392
2,34813,50000,317,4,683
12,34417,200000,398,4,660
8,38123,54000,139,4,314
1,32850,35000,242,4,1.5k
11,32834,55000,106,5,292
8,32055,20000,183,1,177
15,46500,60000,136,5,2.2k
17,31901,150000,220,3,1.3k
2,31486,75000,216,5,479
18,31245,30000,365,5,1.1k
8,31150,30000,309,3,1.5k
15,30175,25000,167,1,721
11,30160,30000,135,4,227
1,29838,25000,123,5,447
17,29622,30000,276,1,1.3k
6,29295,60000,202,1,1.9k
8,27462,55000,128,5,450
2,27346,75000,141,7,145
2,26197,30000,230,5,973
5,26055,100000,388,5,415
2,26005,100000,267,1,1.6k
0,25600,30000,101,2,25
18,25345,200000,161,17,1.1k
2,25075,20000,194,24,326
15,25000,25000,86,1,167
5,24152,40000,657,3,9.8k
17,24080,75000,334,5,363
2,27346,75000,141,7,145
2,26197,30000,230,5,973
5,26055,100000,388,5,415
2,26005,100000,267,1,1.6k
0,25600,30000,101,2,25
18,25345,200000,161,17,1.1k
2,25075,20000,194,24,326
15,25000,25000,86,1,167
5,24152,40000,657,3,9.8k
17,24080,75000,334,5,363
15,23944,50000,307,9,965
12,21730,100000,257,18,1.3k
8,21540,100000,187,1,603
0,21454,100000,326,1,1.8k
5,21390,50000,136,2,291
12,21125,15000,109,1,382
15,20990,60000,98,2,187
12,20821,50000,458,1,1.1k
15,20787,100000,231,2,684
11,25730,25000,195,2,704
8,20735,10000,54,6,188
17,20692,16000,174,2,347
8,20350,20000,45,3,180
12,21730,100000,257,18,1.3k
8,21540,100000,187,1,603
0,21454,100000,326,1,1.8k
5,21390,50000,136,2,291
12,21125,15000,109,1,382
15,20990,60000,98,2,187
12,20821,50000,458,1,1.1k
15,20787,100000,231,2,684
11,25730,25000,195,2,704
8,20735,10000,54,6,188
17,20692,16000,174,2,347
8,20350,20000,45,3,180
12,19468,50000,346,5,1.2k
15,19345,16500,175,1,830
15,19325,30000,227,7,945
8,19300,10000,168,3,198
11,19255,25000,122,2,251
11,19113,20000,156,5,1.1k
7,19100,30000,120,4,375
11,19094,30000,267,1,1.0k
9,18955,30000,745,4,1.0k
13,18934,50000,168,6,257
6,18860,20000,148,3,180
9,18500,18500,170,2,486
8,18311,143000,171,8,457
11,18349,50000,487,3,5.9k
15,18143,30000,297,5,623
18,18077,25000,213,22,1.1k
2,18035,60000,152,1,415
8,17985,50000,223,1,1.7k
