cluster,donors_count,donors_mean,donors_std,donors_min,donors_max,engagement_count,engagement_mean,engagement_std,engagement_min,engagement_max,goal_count,goal_mean,goal_std,goal_min,goal_max,raised_count,raised_mean,raised_std,raised_min,raised_max,shares_count,shares_mean,shares_std,shares_min,shares_max,success_count,success_mean,success_std,success_min,success_max
0,263,45,60,1,504,263,14,8,0,47,263,15693,21129,750,175000,263,4716,9227,75,91991,263,279,364,2,4000,263,36,29,2,201
1,307,63,92,1,591,307,14,9,0,47,307,19357,24752,600,150000,307,6732,12109,165,113210,307,433,1160,2,19000,307,45,40,2,262
2,116,47,54,5,289,116,16,9,3,44,116,14071,17792,900,100000,116,4115,4875,255,33373,116,215,226,6,1000,116,45,41,2,250
3,62,52,74,6,367,62,14,10,1,46,62,17009,18487,950,83200,62,4131,7860,160,44595,62,391,545,3,4000,62,29,27,2,106
4,47,37,35,5,149,47,11,7,1,33,47,9889,14904,750,100000,47,2831,2977,160,13610,47,297,254,28,1000,47,39,29,2,96
5,130,57,99,2,780,130,14,8,0,42,130,14561,22766,600,150000,130,6361,16942,220,156836,130,449,1223,5,12000,130,45,35,2,145
6,183,37,46,5,362,183,15,9,2,49,183,11274,15819,900,150000,183,3238,4921,130,35810,183,209,218,3,1000,183,37,33,2,152
7,212,44,60,5,549,212,18,10,3,47,212,14958,20004,623,150000,212,5220,9887,155,91295,212,203,295,3,3000,212,42,39,2,199
8,372,69,107,5,835,372,16,9,1,50,372,14893,19127,600,150000,372,6283,9806,135,71012,372,349,507,3,5000,372,51,39,2,181
9,214,59,96,1,776,214,13,8,0,41,214,19740,26158,800,150000,214,5414,8259,180,61830,214,362,603,4,8000,214,40,37,2,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g1,847,53,76,4,629,282,16,9,1,48,282,15181,20087,658,158333,282,5406,9640,122,84766,282,277,389,3,4000,282,43,36,2,194
g2,751,49,67,3,470,188,13,8,1,43,188,15065,20408,763,137500,188,4554,7067,159,56115,188,325,559,9,7250,188,40,35,2,178
g3,308,52,76,4,479,103,15,9,1,44,103,15214,19682,817,111067,103,4869,9892,212,78268,103,352,665,5,5667,103,40,34,2,167
g1,847,53,76,4,629,282,16,9,1,48,282,15181,20087,658,158333,282,5406,9640,122,84766,282,277,389,3,4000,282,43,36,2,194
g2,751,49,67,3,470,188,13,8,1,43,188,15065,20408,763,137500,188,4554,7067,159,56115,188,325,559,9,7250,188,40,35,2,178
g3,308,52,76,4,479,103,15,9,1,44,103,15214,19682,817,111067,103,4869,9892,212,78268,103,352,665,5,5667,103,40,34,2,167
