cluster,id,value
10,get,1674
10,help,4386
10,go,1621
10,time,2143
10,work,2021
10,day,1235
10,know,1501
10,back,1112
10,us,1040
10,weeks,1097
1,cancer,1557
1,treatment,1393
1,help,4386
1,breast,247
1,diagnosed,748
1,breast,1804
1,fighting,611
1,family,2524
1,stage,322
1,chemotherapy,345
2,fire,163
2,home,1055
2,house,372
2,lost,358
2,family,2524
2,help,4386
2,flooded,80
2,everything,410
2,rebuild,59
2,clothes,71
3,de,1033
3,que,445
3,la,423
3,en,356
3,el,308
3,para,241
3,un,238
3,su,189
3,por,184
3,unas,152
4,kidney,286
4,transplant,267
4,dialysis,69
4,kidney,553
4,kidney,361
4,donor,69
4,help,4386
4,failure,75
4,family,2524
4,work,2021
5,car,358
5,accident,265
5,help,4386
5,broken,143
5,injury,225
5,recovery,492
5,work,2021
5,car,623
5,family,2524
5,road,268
6,surgery,1638
6,help,4386
6,years,1852
6,work,2021
6,tumor,464
6,eyes,185
6,get,1674
6,insurance,737
6,cover,576
6,remove,382
7,years,1852
7,help,4386
7,treatment,1393
7,life,1331
7,disease,396
7,dogs,189
7,cost,805
7,service,179
7,support,1202
7,time,2143
8,help,4386
8,family,2524
8,friend,1221
8,please,1119
8,know,1501
8,love,1166
8,support,1202
8,time,2143
8,expenses,954
8,work,2021
9,hospital,1327
9,heart,758
9,help,4386
9,work,2021
9,family,2524
9,liver,204
9,doctor,989
9,care,1022
9,weeks,1097
9,bills,855
