role,summary1,summary2,summary3,heard,played,q3_ theory_yrs,q4_instr_yrs,q5_listendaily,q6_talkwrite,q7_instr_primary,q8_instr_all,q9_play_genres,q10_listen_genres,q11_easy,q12_enjoy,q13_misc,gender,ethnicity,education,english
Performing pianist,Tempo began slow but turned out to be perfect,All within pp - mf range,Ending cutoff was not quite together but it was very natural.,"Yes, I've heard it for the last 4 years or so.","Yes, I've played it for the past 6 months or so with this same cellist.",4,5,4,5,piano,"organ, basson, alto saxophone","jazz, classical","jazz, classical",3,5,,M,Black,Masters,5
Performing cellist,The rhythmic pulse was a little bit lazy. I think it could have more flow.,"(modified) I think that the balance was ok, alhrough the cellist couldn't really hear the piano while he was playing.",(modified) There are some places where the performers were not togheter. But I like the flexibility they had in their performance. I think that kind of ensemble work - responsing to each other - should come out nicely to the audience.,"Yes, I studied this piece 4 years ago and performed many times as well.","Yes, I play it about one or twice a year",3,5,3,5,cello,,classical,classical,3,4,,M,Asian/Pacific Islander,Masters,4
Non-performing pianist,The performers seemed to have different approaches to the sound of the music; the piano was generally more open versus a softer cello.,Both performers had similar approaches to time and rubato in the performance.,The performers were very aware of melodic phrases and sucessfully passed them back and forth.,"Yes, I have studied it/been playing it for 5 years","Yes, I have performed it at least seven times, mostly in recitals with horn players, but also with cello and saxophone.",5,5,4,4,piano,"piano, organ, violin, saxophone",classical,classical,3,4,n/a,M,White,Masters,5
Non-performing cellist,I think that the two performers decided to take a too slow tempo,The feeling of the performance is calm and intimistic,Sometimes I think the two performers don't have the same music idea,"Yes, I know this piece very well.","Yes, I played this piece so many times. Concerts, recitals, masterclasses and lessons.",5,5,3,5,cello,"cello, piano, electric bass",classical,"rock/pop, classical",3,4,,M,White,Masters,3.5
Class member 1,I thought the performance was intimate,"I was distracted by the space of the room, it was hard to focus on just their playing",I wish the space was darker,no,no,5,5,5,2,violin,"violin, piano",classical,classical,3,3,,F,Asian/Pacific Islander,"Undergraduate, other: professional studies diploma",3
Class member 2,Both players are very good but I'm not sure I like the piece...,I felt tired while listening. Felt like going to sleep.,Piano is too loud and covering the cello.,no,no,5,4,2,3,"double bass, bass guitar","double bass, bass guitar","rock/pop, classical, folk, funk. (jazz: used to, but not anymore)","rock/pop, jazz, classical, folk, funk",2,4,no,M,Israeli,Masters,3
Class member 3,"Depth character transfer between players and phrases, while maintaining individuality.",Fluid comunication between players on phrasings and last minute ideas.,Wide use of color from the cello which was attentively communicated to the piano and vice versa.,"Yes, I've heard it many times but have not had the fortune to play it.",no,4,5,5,3,"viola, dropset","violin, guitar, bass","rock/pop, classical","rock/pop, jazz, folk, other: anything besides country!",1,4,,F,white,Masters,5
Class member 4,"first, this performance is well went through, but regardless how it is good, it was bit too settled and less emotional then my interpretation.","the piano's entrance top two notes were bit striking, but harmonization and balance at piano itself was good.",two players sync was good but somewhat I want to listen more careful and delicate gesture on piano part (I would rather say balance btw cello and piano then this),"Yes, I've performed it.","Yes, I had lessons and coachings.",5,5,5,4,piano,"violin, piano, voice",classical,classical,1,3,no,F,would rather not say,Undergraduate,3
Class member 5,Could tell they discussed a lot about piece (where to take time etc.) ),they were both really expressive,"they could communicate and ""feel"" each other more, through the piece.  (related to 1)","Yes, I've heard it.","Yes, I've played it in auditions, performances",4,5,3,4,piano,"string bass (classical), voice",classical,"rock/pop, jazz, classical",2,4,"It was hard to listen as a normla audience since we are musicians, so comments are more like ""teachers"" coments.",F,Asian/Pacific Islander,Masters,3
Class member 6,The performance was very expressive,some of the ending(s) of the phrases were not togheter,The dynamics were exellent,"Yes, I've performed it a couple of times","Yes, I've played it.",5,5,3,5,piano,"violin, piano",classical,classical,1,3,,M,Asian/Pacific Islander,Masters,4
Class member 7,The blend of the textures between the cello and piano were very well balanced,Wistful quality to the performance - sad but not melodramatic,Rubato was enough to be expressive without detracting from the direction of longer phrases,no,no,5,5,3,4,piano,"piano, cello, voice",classical,"rock/pop, jazz, classical, folk",2,2,no,F,"Asian/Pacific Islander, white",undergraduate,5
Class member 8,The overall musical shapes could be more flowing.,There could be a lot more different characters.,The ending was pleasingly done with convincing atmosphere.,"Yes, I've heard it many times before and actually worked on the piece","Yes, I've performed before and with two different instruments",3,5,2,3,piano,piano,classical,classical,1,3,,M,Asian,Masters,5
Class member 9,The ensemble was good both in terms of synchronizatino and balance.,"I felt the interpretation could have been more imaginative in terms of rubato, colors, textures, and vocal inflection","Although the tone quality was beuatiful in both musicians' playing, I wanted more clearly defined dramatic moments and a point of climax.","Yes, I have heard it a few times in real like, but I am not incredibly familiar with it",no,5,5,4,5,piano,"voice, flute, piccolo","rack/pop, classical","jazz, classical",2,4,"The labeling of ""characterizatino"" versus ""moment"" was overlooked unfortunately.",M,white,Masters,5
Class member 10,I like the character of they playing. ,But I think the tempo(temple) could be faster or more flowing.,Cellist vibration is too wide and could be more slower and be more different variety.,"Yes, I've heard this piece before","Yes, I played it one year ago",5,5,4,4,cello,piano,classical,"jazz, classical, folk",2,4,,F,Asian/Pacific Islander,Masters,4
