comment_id,role,genchar1,mp,RATING1.GENCHAR1.rating,RATING1.GENCHAR1.COMMENT,RATING1.GENCHAR1.COMMENT.type,RATING2.GENCHAR1.rating,RATING2.GENCHAR1.type,RATING2.GENCHAR1.COMMENT,statement_target,sentiment,trial_categories,rater1_reassigned,rater2_reassigned,rater1_raw,rater2_raw,commentator_instrument,rater1,rater2
GENCHAR1.13,Class member 9,The ensemble was good both in terms of synchronizatino and balance.,M,5,,No comment,5,true.,Affirmation,both,pos,judgement of collaboration,5,5,5,5,Piano,Class member 1,Class member 3
GENCHAR2.04,Non-performing cellist,The feeling of the performance is calm and intimistic,M,5,The softness of the playing conveyed this affect(?) well,Elaboration,5,,No comment,both,descriptive,description of interpretation,5,5,5,5,Both?,Non-performing pianist,Performing pianist
GENCHAR1.09,Class member 5,Could tell they discussed a lot about piece (where to take time etc.) ),P,5,,No comment,4,,No comment,both,descriptive,judgement of collaboration,5,4,5,4,Both,Class member 10,Class member 4
GENCHAR1.04,Non-performing cellist,I think that the two performers decided to take a too slow tempo,P,5,The tempo may have made it difficult to make longer shapes,Elaboration,4,,No comment,both,neg,judgement of interpretation,5,4,5,4,Both,Non-performing pianist,Performing pianist
GENCHAR1.12,Class member 8,The overall musical shapes could be more flowing.,M,5,It does feel dragged a little,Elaboration,4,,No comment,both,neg,judgement of interpretation,5,4,5,4,Piano,Class member 6,Class member 2
GENCHAR2.09,Class member 5,they were both really expressive,P,5,,No comment,4,,No comment,both,pos,judgement of interpretation,5,4,5,4,Both,Class member 10,Class member 4
GENCHAR3.01,Performing pianist,Ending cutoff was not quite together but it was very natural.,M*,5,,No comment,4,,No comment,both,mixed,judgement of collaboration,5,4,5,4,Piano,Performing cellist,Non-performing cellist
GENCHAR1.08,Class member 4,"first, this performance is well went through, but regardless how it is good, it was bit too settled and less emotional then my interpretation.",M,4,It was a little too bland* but I feel that(?) was only through* the ensemble being* overly* prepared.,Elaboration,5,I also felt that it sounded static not enought expression,Elaboration,both,mixed,judgement of interpretation,4,5,4,5,Both,Class member 3,Class member 8
GENCHAR3.13,Class member 9,"Although the tone quality was beuatiful in both musicians' playing, I wanted more clearly defined dramatic moments and a point of climax.",M/P,4,,No comment,5,dramatic climax!,Elaboration,both,mixed,judgement of interpretation,4,5,4,5,Piano,Class member 1,Class member 3
GENCHAR3.08,Class member 4,two players sync was good but somewhat I want to listen more careful and delicate gesture on piano part (I would rather say balance btw cello and piano then this),P,4,I also could've used more piano throughout. Let it be a team experience,Elaboration,5,The piano part lacked creationg the right mood at times.,Elaboration,both,mixed,judgement of collaboration / interpretation,4,5,4,5,Both,Class member 3,Class member 8
GENCHAR1.14,Class member 10,I like the character of they playing. But I think the tempo(temple) could be faster or more flowing. Cellist vibration is too wide and could be more slower and be more different variety.,M/P,4,character(?),,4,,No comment,both & cello,neg,judgement of interpretation,4,4,4,4,Both,Class member 2,Class member 7
GENCHAR2.13,Class member 9,"I felt the interpretation could have been more imaginative in terms of rubato, colors, textures, and vocal inflection",M,4,,No comment,4,too cautious*,Elaboration,both,neg,judgement of interpretation,4,4,4,4,Piano,Class member 1,Class member 3
GENCHAR2.10,Class member 6,some of the ending(s) of the phrases were not togheter,M*,4,"I agree that the cello and piano were not togheter on the last line - it comes from a disagreement on how much time to take. The cellist wanted to slow down with each additional measure on the last line, but it seems the pianist wanted to keep it more in time",Elaboration,4,,No comment,both,neg,judgement of collaboration,4,4,4,4,Both,Class member 9,Class member 5
GENCHAR2.03,Non-performing pianist,Both performers had similar approaches to time and rubato in the performance.,P,4,,No comment,4,,No comment,both,descriptive,judgement of collaboration,4,4,4,4,Both,Non-performing cellist,Performing cellist
GENCHAR2.12,Class member 8,There could be a lot more different characters.,M,4,"Althroufh, they were only ataw(?) [a few?] characters(?), but it does keep the piece togheter.",Elaboration,4,,No comment,both,neg,judgement of interpretation,4,4,4,4,Piano,Class member 6,Class member 2
GENCHAR3.09,Class member 5,"they could communicate and ""feel"" each other more, through the piece.  (related to 1)",P,4,"Through the music I can hear the are communicating, but I can't see it. They can physically communicate more.",Elaboration,4,,No comment,both,neg,judgement of collaboration,4,4,4,4,Both,Class member 10,Class member 4
GENCHAR3.04,Non-performing cellist,Sometimes I think the two performers don't have the same music idea,P,4,There are many moments where dynamic choices differed,Elaboration,4,,No comment,both,neg,judgement of collaboration,4,4,4,4,Both?,Non-performing pianist,Performing pianist
GENCHAR2.08,Class member 4,"the piano's entrance top two notes were bit striking, but harmonization and balance at piano itself was good.",P*,5,true!,Affirmation,3,The top voices could be more singing though,With qualifications,piano,mixed,judgement of interpretation,5,3,5,4,Both,Class member 3,Class member 8
GENCHAR1.02,Performing cellist,The rhythmic pulse was a little bit lazy. I think it could have more flow.,M,3,"I think it was on the slow side, but I wouldn't use the term ""lazy."" I prefer ""relaxed.""",With qualifications,5,The tempo may have contricuted to this significantly.,Elaboration,both,neg,judgement of interpretation,3,5,4,5,Performing cellist,Performing pianist,Non-performing pianist
GENCHAR1.05,Class member 1,I thought the performance was intimate,M,4,,No comment,3,"Yes, I felt the sense of intimacy of the performance, even though I may not have always agreed with moments in the interpretation.",With qualifications,both,descriptive,description of interpretation,4,3,4,5,Both,Class member 7,Class member 9
GENCHAR1.07,Class member 3,"Depth character transfer between players and phrases, while maintaining individuality.",M/P,4,,No comment,3,,No comment,both,pos,description of interpretation / collaboration,4,3,4,3,String,Class member 4,Class member 10
