comment_id,role,mom1char,mp,RATING1.MOM1.rating,RATING1.MOM1.type,RATING1.MOM1.COMMENT,RATING2.MOM1.rating,RATING2.MOM1.type,RATING2.MOM1.COMMENT,sentiment_target,sentiment,trial_categories,rater1_reassigned,rater2_reassigned,rater1_raw,rater2_raw,commentator_instrument,rater1,rater2,agreement
MOM1CHAR.01,Performing pianist,"Both of us performers had the same idea of a heavier rubato on each of the 4 eighth notes, but we executed them differently. The first and second notes of the last set of 4 were not together in comparison to the 3rd and 4th.",P,5,,No comment,5,,No comment,both,neg,judgement of collaboration,5,5,5,5,Performing pianist,Performing cellist,Non-performing cellist,diff
MOM1CHAR.02,Performing cellist,"The opening section (first page) was a little bit stuck. There are few phrases didn't have clear direction, and I couldn't really follow the line when I was listening.",M,1,"I would agree partly if they were referring to when the theme returns. I think if the tempo is slower than you're used to, it should challenge the listener to listen for the direction better.",Elaboration,4,The tempo was too slow,Elaboration,both,neg,judgement of interpretation,1,4,1,4,Performing cellist,Performing pianist,Non-performing pianist,diff
MOM1CHAR.03,Non-performing pianist,At this moment the cello crescended to a climatic moment while the piano became softer. It seems that the sound of the piano did not successfully support the cello during one of the most expressive moments. The same occurance happended later as well (see moment 1a),P,5,absolutelly yes,Affirmation,3,"It would be nice if both player could do the same thing. However, I don't think(?) here is the case. The piano right hand dosen't have the possibility to do much. But the left hand chord *???* is the sign of supporting the cello line.",Elaboration,piano,neg,judgement of collaboration,5,3,5,3,Non-performing pianist,Non-performing cellist,Performing cellist,same
MOM1CHAR.04,Non-performing cellist,"In this section (middle section) there is something that doesn't match. The dupples against the triples are not exactly toghether. In addition to that the cello line is too uch ""flat"": I think it should be with more variations of sound and tempo.",M,2,I think the performers successfully passed of melodic material at this moment,Elaboration,5,,No comment,both,neg,judgement of collaboration,2,5,2,5,Both,Non-performing pianist,Performing pianist,same
MOM1CHAR.06,Class member 2,Beginning - very beautiful. Setting the correct mood for the piece.,M,3,"I don't know if the word ""beautiful"" is the right description but I agree that they set up the right mood.",With qualifications,5,,No comment,both?,pos,judgement of interpretation,3,5,3,5,String,Class member 8,Class member 6,diff
MOM1CHAR.07,Class member 3,1:00 min - the cello leaves us unresolved to be perfectly resolved by the piano's left hand. Impeccable timing.,P,4,,No comment,5,,No comment,both,pos,judgement of collaboration,4,5,4,5,String,Class member 4,Class member 10,diff
MOM1CHAR.08,Class member 4,"fp 's on right hand in the piano are bit striking, might be better to do fp in the context of moving toward.",M/P,5,It did come off a little too harsh,Elaboration,5,"Instead of striking the key down, one can produce more coal quality by slowly pressing down with more weight to it.",Elaboration,piano,neg,judgement of interpretation,5,5,5,5,Both,Class member 3,Class member 8,diff
MOM1CHAR.09,Class member 5,00:28 - tension between two is different (and direction),M*,4,piano could be more exerting(?) cause the notes and phrase are going up.,Elaboration,4,,No comment,both,neg,,4,4,4,4,Both,Class member 10,Class member 4,same
MOM1CHAR.11,Class member 7,The dynamic change from pp to f should be bigger,M,4,Again it's the problem of balancing each other. Fall(?) lid could be one reason that cellist had to come up constantly.,Elaboration,3,"I'm not sure about the cello part since there is no clear introduction of dynamic marking. But piano part ""yes""!",Elaboration,both,neg,judgement of interpretation,4,3,4,3,Piano,Class member 5,Class member 1,diff
MOM1CHAR.12,Class member 8,"Every time this rhythmic pattern of 2 against 3 appears, it lacks a feeling of rhythmic urgency. The duple rhythm could be played more like it interrupt and with a little more  tenuto (expressive emphasis).",M,5,,No comment,2,,No comment,both,neg,judgement of interpretation,5,2,5,2,Piano,Class member 6,Class member 2,diff
MOM1CHAR.13,Class member 9,"I feel the LH Fp chords, which are first introduced in bar 10, need to be just as committed to emotionally and brought out as much as the RH when it has this marking.",M/P,4,"It is totally different marking* with cello part, It has to be different dynamic level",Elaboration,5,"the hands can be better balanced, correct.",Elaboration,piano,neg,judgement of interpretation,4,5,4,5,Piano,Class member 1,Class member 3,diff
MOM1CHAR.14,Class member 10,"Every mark ""1"", I feel like they ended the phrase with a little rit. I really like that dispose.",P,1,disagree. I think that rit actually makes* this music* to breath*,Elaboration,4,,No comment,both,pos,judgement of interpretation,1,4,1,4,Both,Class member 2,Class member 7,diff
