year,issuer_company,ticker_issuer,prop_nr,proposal,cusip,proposals_count,prop_from,count_sharehold_propo,against_mgmt,count_against_mgmt,sector,marketcap,performance_PE,performance_priceCh12m,perc_against_mgmt,environ_prop
2018,3M COMPANY,MMM,1k,Elect Director Inge G. Thulin,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1c,Elect Director David B. Dillon,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1b,Elect Director Thomas 'Tony' K. Brown,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1a,Elect Director Sondra L. Barbour,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1e,Elect Director Herbert L. Henkel,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1f,Elect Director Amy E. Hood,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1g,Elect Director Muhtar Kent,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1h,Elect Director Edward M. Liddy,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1i,Elect Director Gregory R. Page,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1j,Elect Director Michael F. Roman,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1d,Elect Director Michael L. Eskew,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,1l,Elect Director Patricia A. Woertz,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
2018,3M COMPANY,MMM,2,Ratify PricewaterhouseCoopers LLP as,88579Y101,16,MGMT,2,FOR MGMT,0,Industrial,115432.6,26.62x,-17.50%,0.0,0
