All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID
05/07/2019,"Facebook, Inc. (NasdaqGS:FB)",NasdaqGS:FB,Investor Activism,Announced,-,"NorthStar Asset Management, Inc.",-,IQTR612658807
05/07/2019,Alphabet Inc. (NasdaqGS:GOOG.L),NasdaqGS:GOOG.L,Investor Activism,Announced,-,"NorthStar Asset Management, LLC",-,IQTR612668201
05/06/2019,"Liberty Tax, Inc. (OTCPK:TAXA)",OTCPK:TAXA,Investor Activism,Announced,-,"Vintage Capital Management, LLC",-,IQTR612547130
05/06/2019,"Carrizo Oil & Gas, Inc. (NasdaqGS:CRZO)",NasdaqGS:CRZO,Investor Activism,Announced,-,Lion Point Capital,-,IQTR612555201
05/06/2019,"Acreage Holdings, Inc. (CNSX:ACRG.U)",CNSX:ACRG.U,Investor Activism,Announced,-,"Marcato Capital Management, LLC",-,IQTR612556441
05/06/2019,Tidewater Inc. (NYSE:TDW),NYSE:TDW,Investor Activism,Announced,-,"Raging Capital Management, LLC",-,IQTR612567360
05/06/2019,"Great Elm Capital Group, Inc. (NasdaqGS:GEC)",NasdaqGS:GEC,Investor Activism,Announced,-,Imperial Capital Asset Management Llc,-,IQTR612577686
05/03/2019,"Viveve Medical, Inc. (NasdaqCM:VIVE)",NasdaqCM:VIVE,Investor Activism,Announced,-,"Nantahala Capital Management, LLC",-,IQTR612386107
05/02/2019,Aguia Resources Limited (ASX:AGR),ASX:AGR,Investor Activism,Announced,-,Henderson International Pty. Ltd.; Kemosabe Capital PTY Ltd,-,IQTR612208085
05/02/2019,BlackRock Credit Allocation Income Trust (NYSE:BTZ),NYSE:BTZ,Investor Activism,Announced,-,"Saba Capital Management, L.P.",-,IQTR612277358
04/30/2019,"Alaska Communications Systems Group, Inc. (NasdaqGS:ALSK)",NasdaqGS:ALSK,Investor Activism,Announced,-,-,-,IQTR612030746
04/30/2019,The Herzfeld Caribbean Basin Fund Inc. (NasdaqCM:CUBA),NasdaqCM:CUBA,Investor Activism,Announced,-,-,-,IQTR612041708
04/29/2019,"HomeStreet, Inc. (NasdaqGS:HMST)",NasdaqGS:HMST,Investor Activism,Announced,-,Dwight Capital LLC,-,IQTR611931038
04/29/2019,"CSS Industries, Inc. (NYSE:CSS)",NYSE:CSS,Investor Activism,Announced,-,-,-,IQTR611937906
04/29/2019,"Sinclair Broadcast Group, Inc. (NasdaqGS:SBGI)",NasdaqGS:SBGI,Investor Activism,Announced,-,City of Philadelphia Public Employees Retirement System,-,IQTR612042144
04/29/2019,"Sinclair Broadcast Group, Inc. (NasdaqGS:SBGI)",NasdaqGS:SBGI,Investor Activism,Announced,-,California Public Employees' Retirement System,-,IQTR612043791
04/29/2019,"Taishin Financial Holding Co., Ltd. (TSEC:2887)",TSEC:2887,Investor Activism,Announced,-,"PJ Asset Management Co., Ltd.",-,IQTR612161263
04/29/2019,SinoPac Financial Holdings Company Limited (TSEC:2890),TSEC:2890,Investor Activism,Announced,-,"PJ Asset Management Co., Ltd.",-,IQTR612161731
04/26/2019,Hawkley Oil and Gas Limited,-,Investor Activism,Announced,-,Hay Street Property Pty Ltd,-,IQTR611711645
04/26/2019,"Rocky Mountain Chocolate Factory, Inc. (NasdaqGM:RMCF)",NasdaqGM:RMCF,Investor Activism,Announced,-,AB Value Management LLC,-,IQTR611763561
04/26/2019,Liberated Syndication Inc. (OTCPK:LSYN),OTCPK:LSYN,Investor Activism,Announced,-,"Camac Partners, LLC",-,IQTR611860579
04/25/2019,"Feedone Co., Ltd. (TSE:2060)",TSE:2060,Investor Activism,Announced,-,"Mitsui & Co., Ltd. (TSE:8031)",-,IQTR611631752
04/25/2019,Masonite International Corporation (NYSE:DOOR),NYSE:DOOR,Investor Activism,Announced,-,"Praesidium Investment Management Company, LLC",-,IQTR611638133
04/25/2019,SAP SE (DB:SAP),DB:SAP,Investor Activism,Announced,-,Elliott Management Corporation,-,IQTR611759495
04/25/2019,Anadarko Petroleum Corporation (NYSE:APC),NYSE:APC,Investor Activism,Announced,-,Occidental Petroleum Corporation (NYSE:OXY),-,IQTR612572754
04/24/2019,Grigeo AB (NSEL:GRG1L),NSEL:GRG1L,Investor Activism,Announced,-,UAB Ginvildos Investicija,-,IQTR611478471
