Artist Alpha Sort,Artist Begin Date,Artist Display Bio,Artist Display Name,Artist End Date,Artist Nationality,Artist Prefix,Artist Role,Symbolic Value KPI,Legality KPI ,Preservation KPI Materials,totalKPIs,Materials Classifying - Preservation KPI,If Null,CaseTotalKPI,Risk Assessment - Preservation KPI,City,Classification,Country,County,Credit Line,Culture,Department,Dimensions,Dynasty,Excavation,F45,F46,F47,F48,F49,Geography Type,Is Highlight,Is Public Domain,Link Resource,Locale,Locus,Medium,Metadata Date,Number of Records,Object Begin Date,Object Date,Object End Date,Object ID,ObjectName,ObjectNumber,Period,Portfolio,Region,Reign,Repository,Rights and Reproduction,Risk Assessment - Preservation KPI Part 2,River,State,Subregion,Tags,Title
"Jones, Gershom",1751,1751–1809,Gershom Jones,1809,,Possibly,Maker,0,0,5,14,Metals,9,Contentious,North America,Providence,Metal,United States,,"Gift of Joseph France, 1943",American,American Decorative Arts,H. 2 in. (5.1 cm); Diam. 6 1/4 in. (15.9 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/343,,,Pewter,4/1/2019 8:00:02 AM,1,1770,1770–1800,1800,343,Basin,43.162.43,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Basins,Basin
,,,,,,,,1,0,0,10,Man made material,9,Contentious,North America,,Drawings,United States,Dauphin County,"Gift of Mrs. Robert W. de Forest, 1933",American,American Decorative Arts,12 1/2 x 14 1/2 in. (31.8 x 36.8 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/527,,,Ink and watercolor on paper,4/1/2019 8:00:02 AM,1,1810,1810,1810,527,"Birth and baptismal certificate, Fraktur",34.100.69,,,,,"Metropolitan Museum of Art, New York, NY",,9,,Dauphin County,,Birds|Flowers|Documents,Birth and Baptismal Certificate
"Challinor, Taylor and Company ",1866,1866–1891,"Challinor, Taylor and Company",1891,,,Maker,0,0,1,10,Clay,9,Contentious,North America,Tarentum,Glass,United States,,"Gift of Mrs. Emily Winthrop Miles, 1946",American,American Decorative Arts,H. 3 1/2 in. (8.9 cm); Diam. 2 1/16 in. (5.2 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/564,,,Pressed purple marble glass,4/1/2019 8:00:02 AM,1,1870,1870–90,1890,564,Sculpture,46.140.669,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Boots,Boot with Spur
,,,,,,,,0,0,0,0,Other Organic Material,0,Overall Collection,Unknown,,Natural Substances,,,"Gift of Mrs. Russell Sage, 1909",,American Decorative Arts,5 1/4 x 15 x 13 3/4 in. (13.3 x 38.1 x 34.9 cm),,,,,,,,,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/663,,,Burlwood,4/1/2019 8:00:02 AM,1,1670,1670–1730,1730,663,Bowl,10.125.702a,,,,,"Metropolitan Museum of Art, New York, NY",,0,,,,Bowls,Bowl
,,,,,,,,0,0,1,10,Clay,9,Contentious,North America,,Glass,United States,,"Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951",American,American Decorative Arts,Diam. 6 1/2 in. (16.5 cm),,,,,,,,Possibly made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/752,,,Lacy pressed glass,4/1/2019 8:00:02 AM,1,1835,1835–40,1840,752,Bowl,51.171.69,,,Midwest,,"Metropolitan Museum of Art, New York, NY",,9,,,,Stars|Bowls,Bowl
Eoff and Phyfe|Baldwin & Co.,1841      |1842,active ca. 1844–49|1842–60,Eoff and Phyfe|Baldwin & Co.,1850      |1860,,or possibly retailer,Maker|Maker,0,0,5,14,Metals,9,Contentious,North America,New York,Silver,United States,,"Bequest of Alphonso T. Clearwater, 1933",American,American Decorative Arts,"Overall: H. 5 3/16 in. (13.2 cm); Diam. 6 3/16 in. (15.7 cm); 12 oz. 6 dwt. (383.2 g)
Foot: 3 1/2 x 3 1/2 in. (8.9 x 8.9 cm)",,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/795,,,Silver,4/1/2019 8:00:02 AM,1,1844,ca. 1846,1850,795,Bowl,33.120.124,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Inscriptions|Bowls,Punch Bowl
,,,,,,,,0,0,1,10,Clay,9,Contentious,North America,Bennington,Ceramics,United States,,"Gift of Dr. Charles W. Green, 1947",American,American Decorative Arts,1 3/4 x 3 5/8 x 2 1/4 in. (4.4 x 9.2 x 5.7 cm),,,,,,,,Probably made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/931,,,Parian porcelain,4/1/2019 8:00:02 AM,1,1830,1830–70,1870,931,Box,"47.90.107a, b",,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Boxes,Box
"Tiffany, Louis Comfort|Tiffany Studios ",1848      |1902,"American, New York 1848–1933 New York|1902–32",Louis Comfort Tiffany|Tiffany Studios,1933      |1932,American,Designed by,Designer|Maker,0,0,1,11,Clay,9,Contentious,North America,New York,Glass,United States,,"Gift of Mr. and Mrs. Hugh J. Grant, 1974",American,American Decorative Arts,H. 17 3/4 in. (45.1 cm); Diam. 8 in. (20.3 cm),,,,,,,,Made in,FALSE,FALSE,http://www.metmuseum.org/art/collection/search/1332,,,Bronze and glass,4/1/2019 8:00:02 AM,1,1899,ca. 1902,1905,1332,Candlestick,1974.214.7,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Candlesticks,Candlestick
,,,,,,,,0,0,0,10,Man made material,9,Contentious,North America,Philadelphia,Furniture,United States,,"The Sylmaris Collection, Gift of George Coe Graves, 1932",American,American Decorative Arts,38 3/4 x 22 3/8 x 21 1/2 in. (98.4 x 56.8 x 54.6 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/1592,,,"Mahogany, northern white cedar, yellow pine",4/1/2019 8:00:02 AM,1,1760,1760–90,1790,1592,Side chair,32.57.3,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Chairs,Side chair
,,,,,,,,0,0,0,10,Man made material,9,Contentious,North America,,Furniture,United States,,"Bequest of Mrs. J. Insley Blair, 1951",American,American Decorative Arts,48 x 18 x 15 in. (121.9 x 45.7 x 38.1 cm),,,,,,,,Made in,FALSE,TRUE,http://www.metmuseum.org/art/collection/search/1621,,,"Red maple, oak",4/1/2019 8:00:02 AM,1,1700,1700–1720,1720,1621,Side Chair,52.77.58,,,,,"Metropolitan Museum of Art, New York, NY",,9,,,,Chairs,Side Chair
