CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Contentious,Metal,United States,American,Basin,43.162.43
Contentious,Drawings,United States,American,"Birth and baptismal certificate, Fraktur",34.100.69
Contentious,Glass,United States,American,Sculpture,46.140.669
Overall Collection,Natural Substances,,,Bowl,10.125.702a
Contentious,Glass,United States,American,Bowl,51.171.69
Contentious,Silver,United States,American,Bowl,33.120.124
Contentious,Ceramics,United States,American,Box,"47.90.107a, b"
Contentious,Glass,United States,American,Candlestick,1974.214.7
Contentious,Furniture,United States,American,Side chair,32.57.3
Contentious,Furniture,United States,American,Side Chair,52.77.58
Contentious,Furniture,United States,American,Side Chair,39.184.4
Contentious,Glass,England,British or Irish,Chandelier,46.67.144
Contentious,Glass,United States,American,Chandelier,56.109.2
Contentious,Furniture,United States,American,Corner cupboard,10.125.403
Contentious,Natural Substances|Glass,United States,American,Bowl,04.6.18a_d
Contentious,Glass,United States,American,Dish,"46.140.750a, b"
Overall Collection,Natural Substances,,"American, Shaker",Box,"66.10.39a, b"
Contentious,Glass,United States,American,Sugar bowl,"46.140.443a, b"
Contenders for repatriation,Silver,United States,American,Sugar Bowl,"17.55.2a, b"
Mid-Point,Ceramics,China,Chinese,Cup and saucer,"42.149.19, .29"
Contentious,Metal,England,,Curtain tieback,61.135.2
Contentious,Ceramics,United States,American,Demitasse cup and saucer,"69.194.118, .129"
Mid-Point,Furniture,England,British,Desk and bookcase,"39.184.1a, b"
Contentious,Ceramics,England,British,Dish,36.22.11
Mid-Point,Ceramics,China,"Chinese, for American market",Dish,60.111.53
Contenders for repatriation,Metal,United States,American,Solid Casting Pattern,"1985.191.3c, d"
Contentious,Ceramics,France,French,Medallion,83.2.125
Contentious,Glass,United States,American,Fragment,13.223.7
Overall Collection,Glass,,,Globe,69.262.15
Mid-Point,Metal,,,Glass Globe,Inst.63.2.62
Mid-Point,Metal,,,Hinge,49.117.20
Mid-Point,Metal,United States|United States,American,Hot water plate,46.27
Contenders for repatriation,Silver,United States,American,Waste Bowl,1987.31.7b
Contentious,Glass,United States,American,Lunette,16.153.1
Contentious,Furniture,United States,American,Lyre clock,10.125.391
Contenders for repatriation,Metal,United States,American,Medal,83.2.392
Contentious,Furniture,United States,American,Clock,30.120.49
Contentious,Ceramics,United States,American,Pitcher,47.90.190
Contentious,Glass,United States,American,Pitcher,46.140.785
Contentious,Ceramics,Netherlands,Dutch,Plate,33.85.5
Contentious,Ceramics,France,"French, possibly",Cake plate,41.127.3
Contentious,Ceramics,United States,American,Plate,63.88.2
Contentious,Glass,United States,American,Plate,46.140.381
Contenders for repatriation,Metal,United States,American,Porringer,40.184.8
Contenders for repatriation,Metal,United States,American,Porringer,62.89.2
Contentious,Architecture,United States,American,Railing,17.233a_i
Mid-Point,Ceramics,China,"Chinese, for American market",Soup dish,60.111.109
Contenders for repatriation,Metal,United States,American,Stamp box,"62.233.18a, b"
