"Object Number","Is Highlight","Is Public Domain","Object ID","Department","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Metadata Date","Repository","Tags"
"43.162.43","False","True","343","American Decorative Arts","Basin","Basin","American","","","","","Maker","Possibly","Gershom Jones","1751–1809","","Jones, Gershom","","1751      ","1809      ","1770–1800","1770","1800","Pewter","H. 2 in. (5.1 cm); Diam. 6 1/4 in. (15.9 cm)","Gift of Joseph France, 1943","Made in","Providence","","","United States","","","","","","","Metal","","http://www.metmuseum.org/art/collection/search/343","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Basins"
"34.100.69","False","True","527","American Decorative Arts","Birth and baptismal certificate, Fraktur","Birth and Baptismal Certificate","American","","","","","","","","","","","","","","1810","1810","1810","Ink and watercolor on paper","12 1/2 x 14 1/2 in. (31.8 x 36.8 cm)","Gift of Mrs. Robert W. de Forest, 1933","Made in","","Dauphin County","Dauphin County","United States","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/527","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Birds|Flowers|Documents"
"46.140.669","False","True","564","American Decorative Arts","Sculpture","Boot with Spur","American","","","","","Maker","","Challinor, Taylor and Company","1866–1891","","Challinor, Taylor and Company ","","1866      ","1891      ","1870–90","1870","1890","Pressed purple marble glass","H. 3 1/2 in. (8.9 cm); Diam. 2 1/16 in. (5.2 cm)","Gift of Mrs. Emily Winthrop Miles, 1946","Made in","Tarentum","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/564","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Boots"
"10.125.702a","False","True","663","American Decorative Arts","Bowl","Bowl","","","","","","","","","","","","","","","1670–1730","1670","1730","Burlwood","5 1/4 x 15 x 13 3/4 in. (13.3 x 38.1 x 34.9 cm)","Gift of Mrs. Russell Sage, 1909","","","","","","","","","","","","Natural Substances","","http://www.metmuseum.org/art/collection/search/663","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Bowls"
"51.171.69","False","True","752","American Decorative Arts","Bowl","Bowl","American","","","","","","","","","","","","","","1835–40","1835","1840","Lacy pressed glass","Diam. 6 1/2 in. (16.5 cm)","Gift of Mrs. Charles W. Green, in memory of Dr. Charles W. Green, 1951","Possibly made in","","","","United States","Midwest ","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/752","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Stars|Bowls"
"33.120.124","False","True","795","American Decorative Arts","Bowl","Punch Bowl","American","","","","","Maker|Maker","or possibly retailer","Eoff and Phyfe|Baldwin & Co.","active ca. 1844–49|1842–60","","Eoff and Phyfe|Baldwin & Co.","","1841      |1842      ","1850      |1860      ","ca. 1846","1844","1850","Silver","Overall: H. 5 3/16 in. (13.2 cm); Diam. 6 3/16 in. (15.7 cm); 12 oz. 6 dwt. (383.2 g)
Foot: 3 1/2 x 3 1/2 in. (8.9 x 8.9 cm)","Bequest of Alphonso T. Clearwater, 1933","Made in","New York","","","United States","","","","","","","Silver","","http://www.metmuseum.org/art/collection/search/795","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Inscriptions|Bowls"
"47.90.107a, b","False","True","931","American Decorative Arts","Box","Box","American","","","","","","","","","","","","","","1830–70","1830","1870","Parian porcelain","1 3/4 x 3 5/8 x 2 1/4 in. (4.4 x 9.2 x 5.7 cm)","Gift of Dr. Charles W. Green, 1947","Probably made in","Bennington","","","United States","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/931","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Boxes"
"1974.214.7","False","False","1332","American Decorative Arts","Candlestick","Candlestick","American","","","","","Designer|Maker","Designed by","Louis Comfort Tiffany|Tiffany Studios","American, New York 1848–1933 New York|1902–32","","Tiffany, Louis Comfort|Tiffany Studios ","American","1848      |1902      ","1933      |1932      ","ca. 1902","1899","1905","Bronze and glass","H. 17 3/4 in. (45.1 cm); Diam. 8 in. (20.3 cm)","Gift of Mr. and Mrs. Hugh J. Grant, 1974","Made in","New York","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/1332","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Candlesticks"
"32.57.3","False","True","1592","American Decorative Arts","Side chair","Side chair","American","","","","","","","","","","","","","","1760–90","1760","1790","Mahogany, northern white cedar, yellow pine","38 3/4 x 22 3/8 x 21 1/2 in. (98.4 x 56.8 x 54.6 cm)","The Sylmaris Collection, Gift of George Coe Graves, 1932","Made in","Philadelphia","","","United States","","","","","","","Furniture","","http://www.metmuseum.org/art/collection/search/1592","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Chairs"
"52.77.58","False","True","1621","American Decorative Arts","Side Chair","Side Chair","American","","","","","","","","","","","","","","1700–1720","1700","1720","Red maple, oak","48 x 18 x 15 in. (121.9 x 45.7 x 38.1 cm)","Bequest of Mrs. J. Insley Blair, 1951","Made in","","","","United States","","","","","","","Furniture","","http://www.metmuseum.org/art/collection/search/1621","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Chairs"
"39.184.4","False","True","1855","American Decorative Arts","Side Chair","Side Chair","American","","","","","","","","","","","","","","1760–90","1760","1790","Walnut, white oak, white pine","38 1/2 x 24 1/2 x 21 3/4 in. (97.8 x 62.2 x 55.2 cm)","Gift of James DeLancey Verplanck and John Bayard Rodgers Verplanck,  1939","Probably made in","New York","","","United States","","","","","","","Furniture","","http://www.metmuseum.org/art/collection/search/1855","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Chairs"
"46.67.144","False","True","1960","American Decorative Arts","Chandelier","Chandelier","British or Irish","","","","","","","","","","","","","","1810–20","1810","1820","Glass, brass","H. 36 in. (91.4 cm)","Gift of the Members of the Committee of the Bertha King Benkard Memorial Fund, 1946","Made in","","","","England","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/1960","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Lighting|Candles"
"56.109.2","False","False","1963","American Decorative Arts","Chandelier","Chandelier","American","","","","","","","","","","","","","","20th century","1900","2000","Cut blown glass","51 x 34 1/4 in. (129.5 x 87 cm)","Gift of Mr. and Mrs. Junius S. Morgan, 1956","Probably made in","","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/1963","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Lighting|Candles"
"10.125.403","False","True","2268","American Decorative Arts","Corner cupboard","Corner Cupboard","American","","","","","","","","","","","","","","1750–1800","1750","1800","Pine","93 x 53 x 23 3/4 in. (236.2 x 134.6 x 60.3 cm)","Gift of Mrs. Russell Sage, 1909","Probably made in","","","","United States","New England ","","","","","","Furniture","","http://www.metmuseum.org/art/collection/search/2268","4/1/2019 8:00:02 AM","Metropolitan Museum of Art, New York, NY","Storage Furniture"
